datetime,position,value
2014-10-30 19:09:00,ai0,0.11429,NE Anemometer 4'
2014-10-30 19:09:00,ai1,0.59834,SW Anemometer 4'
2014-10-30 19:09:00,ai2,1.01478,SE Anemometer 4'
2014-10-30 19:09:00,ai3,0.29149,W Anemometer 4'
2014-10-30 19:09:00,ai4,0.74676,Center Anemometer 4'
2014-10-30 19:09:00,ai5,0.91528,Center Anemometer 7'6
2014-10-30 19:09:00,ai6,0.05203,E Anemometer 4'
2014-10-30 19:09:00,ai7,0.22296,N Anemometer 4'
2014-10-30 19:09:00,ai8,0.17093,N Anemometer 7'6
2014-10-30 19:09:00,ai9,0.00937,S Setra
2014-10-30 19:09:00,ai10,0.00587,E Outer Setra
2014-10-30 19:09:00,ai11,0.02107,NW P26
2014-10-30 19:09:00,ai12,-0.00051,E Inner Setra
2014-10-30 19:09:00,ai13,-0.00096,N Setra
2014-10-30 19:09:01,ai0,0.10771,NE Anemometer 4'
2014-10-30 19:09:01,ai1,0.6004,SW Anemometer 4'
2014-10-30 19:09:01,ai2,1.00533,SE Anemometer 4'
2014-10-30 19:09:01,ai3,0.30506,W Anemometer 4'
2014-10-30 19:09:01,ai4,0.74963,Center Anemometer 4'
2014-10-30 19:09:01,ai5,0.90582,Center Anemometer 7'6
2014-10-30 19:09:01,ai6,0.05573,E Anemometer 4'
2014-10-30 19:09:01,ai7,0.1987,N Anemometer 4'
2014-10-30 19:09:01,ai8,0.17792,N Anemometer 7'6
2014-10-30 19:09:01,ai9,0.00935,S Setra
2014-10-30 19:09:01,ai10,0.00543,E Outer Setra
2014-10-30 19:09:01,ai11,0.01782,NW P26
2014-10-30 19:09:01,ai12,-0.0006,E Inner Setra
2014-10-30 19:09:01,ai13,-0.00096,N Setra
2014-10-30 19:09:02,ai0,0.05961,NE Anemometer 4'
2014-10-30 19:09:02,ai1,0.61766,SW Anemometer 4'
2014-10-30 19:09:02,ai2,0.8783,SE Anemometer 4'
2014-10-30 19:09:02,ai3,0.40413,W Anemometer 4'
2014-10-30 19:09:02,ai4,0.68673,Center Anemometer 4'
2014-10-30 19:09:02,ai5,0.87252,Center Anemometer 7'6
2014-10-30 19:09:02,ai6,0.07751,E Anemometer 4'
2014-10-30 19:09:02,ai7,0.21515,N Anemometer 4'
2014-10-30 19:09:02,ai8,0.43281,N Anemometer 7'6
2014-10-30 19:09:02,ai9,0.00927,S Setra
2014-10-30 19:09:02,ai10,0.00292,E Outer Setra
2014-10-30 19:09:02,ai11,0.01249,NW P26
2014-10-30 19:09:02,ai12,-0.00045,E Inner Setra
2014-10-30 19:09:02,ai13,-0.00096,N Setra
2014-10-30 19:09:03,ai0,0.12662,NE Anemometer 4'
2014-10-30 19:09:03,ai1,0.7225,SW Anemometer 4'
2014-10-30 19:09:03,ai2,0.81951,SE Anemometer 4'
2014-10-30 19:09:03,ai3,0.35233,W Anemometer 4'
2014-10-30 19:09:03,ai4,0.63822,Center Anemometer 4'
2014-10-30 19:09:03,ai5,0.84375,Center Anemometer 7'6
2014-10-30 19:09:03,ai6,0.07094,E Anemometer 4'
2014-10-30 19:09:03,ai7,0.1839,N Anemometer 4'
2014-10-30 19:09:03,ai8,0.45665,N Anemometer 7'6
2014-10-30 19:09:03,ai9,0.00849,S Setra
2014-10-30 19:09:03,ai10,0.00303,E Outer Setra
2014-10-30 19:09:03,ai11,0.01864,NW P26
2014-10-30 19:09:03,ai12,-0.00052,E Inner Setra
2014-10-30 19:09:03,ai13,-0.00096,N Setra
2014-10-30 19:09:04,ai0,0.13073,NE Anemometer 4'
2014-10-30 19:09:04,ai1,0.76319,SW Anemometer 4'
2014-10-30 19:09:04,ai2,0.82486,SE Anemometer 4'
2014-10-30 19:09:04,ai3,0.35603,W Anemometer 4'
2014-10-30 19:09:04,ai4,0.60123,Center Anemometer 4'
2014-10-30 19:09:04,ai5,0.7644,Center Anemometer 7'6
2014-10-30 19:09:04,ai6,0.11246,E Anemometer 4'
2014-10-30 19:09:04,ai7,0.16088,N Anemometer 4'
2014-10-30 19:09:04,ai8,0.43486,N Anemometer 7'6
2014-10-30 19:09:04,ai9,0.00948,S Setra
2014-10-30 19:09:04,ai10,0.00241,E Outer Setra
2014-10-30 19:09:04,ai11,0.01908,NW P26
2014-10-30 19:09:04,ai12,-0.00075,E Inner Setra
2014-10-30 19:09:04,ai13,-0.00096,N Setra
2014-10-30 19:09:05,ai0,0.09497,NE Anemometer 4'
2014-10-30 19:09:05,ai1,0.66535,SW Anemometer 4'
2014-10-30 19:09:05,ai2,1.04192,SE Anemometer 4'
2014-10-30 19:09:05,ai3,0.31739,W Anemometer 4'
2014-10-30 19:09:05,ai4,0.62055,Center Anemometer 4'
2014-10-30 19:09:05,ai5,0.75906,Center Anemometer 7'6
2014-10-30 19:09:05,ai6,0.08944,E Anemometer 4'
2014-10-30 19:09:05,ai7,0.15143,N Anemometer 4'
2014-10-30 19:09:05,ai8,0.31318,N Anemometer 7'6
2014-10-30 19:09:05,ai9,0.01039,S Setra
2014-10-30 19:09:05,ai10,0.00236,E Outer Setra
2014-10-30 19:09:05,ai11,0.01893,NW P26
2014-10-30 19:09:05,ai12,-0.0009,E Inner Setra
2014-10-30 19:09:05,ai13,-0.00096,N Setra
2014-10-30 19:09:06,ai0,0.09004,NE Anemometer 4'
2014-10-30 19:09:06,ai1,0.66864,SW Anemometer 4'
2014-10-30 19:09:06,ai2,1.03986,SE Anemometer 4'
2014-10-30 19:09:06,ai3,0.37412,W Anemometer 4'
2014-10-30 19:09:06,ai4,0.6189,Center Anemometer 4'
2014-10-30 19:09:06,ai5,0.7644,Center Anemometer 7'6
2014-10-30 19:09:06,ai6,0.10012,E Anemometer 4'
2014-10-30 19:09:06,ai7,0.15759,N Anemometer 4'
2014-10-30 19:09:06,ai8,0.30208,N Anemometer 7'6
2014-10-30 19:09:06,ai9,0.01187,S Setra
2014-10-30 19:09:06,ai10,-0.00026,E Outer Setra
2014-10-30 19:09:06,ai11,0.01532,NW P26
2014-10-30 19:09:06,ai12,-0.0008,E Inner Setra
2014-10-30 19:09:06,ai13,-0.00095,N Setra
2014-10-30 19:09:07,ai0,0.00617,NE Anemometer 4'
2014-10-30 19:09:07,ai1,0.63493,SW Anemometer 4'
2014-10-30 19:09:07,ai2,1.02712,SE Anemometer 4'
2014-10-30 19:09:07,ai3,0.37371,W Anemometer 4'
2014-10-30 19:09:07,ai4,0.68961,Center Anemometer 4'
2014-10-30 19:09:07,ai5,0.78743,Center Anemometer 7'6
2014-10-30 19:09:07,ai6,0.13918,E Anemometer 4'
2014-10-30 19:09:07,ai7,0.5543,N Anemometer 4'
2014-10-30 19:09:07,ai8,0.45501,N Anemometer 7'6
2014-10-30 19:09:07,ai9,0.01299,S Setra
2014-10-30 19:09:07,ai10,-0.00088,E Outer Setra
2014-10-30 19:09:07,ai11,0.01356,NW P26
2014-10-30 19:09:07,ai12,-0.00084,E Inner Setra
2014-10-30 19:09:07,ai13,-0.00096,N Setra
2014-10-30 19:09:08,ai0,0.00535,NE Anemometer 4'
2014-10-30 19:09:08,ai1,0.4709,SW Anemometer 4'
2014-10-30 19:09:08,ai2,0.93544,SE Anemometer 4'
2014-10-30 19:09:08,ai3,0.40824,W Anemometer 4'
2014-10-30 19:09:08,ai4,0.70318,Center Anemometer 4'
2014-10-30 19:09:08,ai5,0.88486,Center Anemometer 7'6
2014-10-30 19:09:08,ai6,0.14699,E Anemometer 4'
2014-10-30 19:09:08,ai7,0.37918,N Anemometer 4'
