datetime,position,value
2014-10-30 19:43:01,ai0,1.05777,NE Anemometer 4'
2014-10-30 19:43:01,ai1,0.25754,SW Anemometer 4'
2014-10-30 19:43:01,ai2,0.75045,SE Anemometer 4'
2014-10-30 19:43:01,ai3,0.37659,W Anemometer 4'
2014-10-30 19:43:01,ai4,0.36238,Center Anemometer 4'
2014-10-30 19:43:01,ai5,0.19626,Center Anemometer 7'6
2014-10-30 19:43:01,ai6,0.49273,E Anemometer 4'
2014-10-30 19:43:01,ai7,-0.00233,N Anemometer 4'
2014-10-30 19:43:01,ai8,-0.00584,N Anemometer 7'6
2014-10-30 19:43:01,ai9,0.04291,S Setra
2014-10-30 19:43:01,ai10,-0.00531,E Outer Setra
2014-10-30 19:43:01,ai11,0.04599,NW P26
2014-10-30 19:43:01,ai12,-0.00114,E Inner Setra
2014-10-30 19:43:01,ai13,-0.00097,N Setra
2014-10-30 19:43:02,ai0,0.47894,NE Anemometer 4'
2014-10-30 19:43:02,ai1,0.1782,SW Anemometer 4'
2014-10-30 19:43:02,ai2,0.76278,SE Anemometer 4'
2014-10-30 19:43:02,ai3,0.37001,W Anemometer 4'
2014-10-30 19:43:02,ai4,0.31921,Center Anemometer 4'
2014-10-30 19:43:02,ai5,0.37057,Center Anemometer 7'6
2014-10-30 19:43:02,ai6,0.65676,E Anemometer 4'
2014-10-30 19:43:02,ai7,0.00014,N Anemometer 4'
2014-10-30 19:43:02,ai8,-0.00872,N Anemometer 7'6
2014-10-30 19:43:02,ai9,0.04394,S Setra
2014-10-30 19:43:02,ai10,-0.0053,E Outer Setra
2014-10-30 19:43:02,ai11,0.04599,NW P26
2014-10-30 19:43:02,ai12,-0.00165,E Inner Setra
2014-10-30 19:43:02,ai13,-0.00096,N Setra
2014-10-30 19:43:03,ai0,0.45098,NE Anemometer 4'
2014-10-30 19:43:03,ai1,0.17779,SW Anemometer 4'
2014-10-30 19:43:03,ai2,0.53297,SE Anemometer 4'
2014-10-30 19:43:03,ai3,0.17474,W Anemometer 4'
2014-10-30 19:43:03,ai4,0.40225,Center Anemometer 4'
2014-10-30 19:43:03,ai5,0.28136,Center Anemometer 7'6
2014-10-30 19:43:03,ai6,0.71349,E Anemometer 4'
2014-10-30 19:43:03,ai7,-0.00356,N Anemometer 4'
2014-10-30 19:43:03,ai8,-0.00748,N Anemometer 7'6
2014-10-30 19:43:03,ai9,0.04058,S Setra
2014-10-30 19:43:03,ai10,-0.00522,E Outer Setra
2014-10-30 19:43:03,ai11,0.04599,NW P26
2014-10-30 19:43:03,ai12,0.00192,E Inner Setra
2014-10-30 19:43:03,ai13,-0.001,N Setra
2014-10-30 19:43:04,ai0,0.44646,NE Anemometer 4'
2014-10-30 19:43:04,ai1,0.18313,SW Anemometer 4'
