datetime,position,value
2014-10-30 18:51:19,ai0,0.41316,NE Anemometer 4'
2014-10-30 18:51:19,ai1,0.30728,SW Anemometer 4'
2014-10-30 18:51:19,ai2,0.68385,SE Anemometer 4'
2014-10-30 18:51:19,ai3,0.43373,W Anemometer 4'
2014-10-30 18:51:19,ai4,0.18766,Center Anemometer 4'
2014-10-30 18:51:19,ai5,0.41127,Center Anemometer 7'6
2014-10-30 18:51:19,ai6,0.63826,E Anemometer 4'
2014-10-30 18:51:19,ai7,0.31504,N Anemometer 4'
2014-10-30 18:51:19,ai8,0.21246,N Anemometer 7'6
2014-10-30 18:51:19,ai9,0.0155,S Setra
2014-10-30 18:51:19,ai10,-0.0041,E Outer Setra
2014-10-30 18:51:19,ai11,0.04599,NW P26
2014-10-30 18:51:19,ai12,0.00092,E Inner Setra
2014-10-30 18:51:19,ai13,-0.00099,N Setra
2014-10-30 18:51:20,ai0,0.38973,NE Anemometer 4'
2014-10-30 18:51:20,ai1,0.30934,SW Anemometer 4'
2014-10-30 18:51:20,ai2,0.80019,SE Anemometer 4'
2014-10-30 18:51:20,ai3,0.43209,W Anemometer 4'
2014-10-30 18:51:20,ai4,0.18725,Center Anemometer 4'
2014-10-30 18:51:20,ai5,0.4088,Center Anemometer 7'6
2014-10-30 18:51:20,ai6,0.62633,E Anemometer 4'
2014-10-30 18:51:20,ai7,0.30066,N Anemometer 4'
2014-10-30 18:51:20,ai8,0.20382,N Anemometer 7'6
2014-10-30 18:51:20,ai9,0.019,S Setra
2014-10-30 18:51:20,ai10,-0.00024,E Outer Setra
2014-10-30 18:51:20,ai11,0.04599,NW P26
2014-10-30 18:51:20,ai12,-4e-05,E Inner Setra
2014-10-30 18:51:20,ai13,-0.00099,N Setra
2014-10-30 18:51:21,ai0,0.38315,NE Anemometer 4'
2014-10-30 18:51:21,ai1,0.30893,SW Anemometer 4'
2014-10-30 18:51:21,ai2,0.78786,SE Anemometer 4'
2014-10-30 18:51:21,ai3,0.43497,W Anemometer 4'
2014-10-30 18:51:21,ai4,0.14696,Center Anemometer 4'
2014-10-30 18:51:21,ai5,0.23655,Center Anemometer 7'6
2014-10-30 18:51:21,ai6,0.71349,E Anemometer 4'
2014-10-30 18:51:21,ai7,0.0022,N Anemometer 4'
2014-10-30 18:51:21,ai8,0.38018,N Anemometer 7'6
2014-10-30 18:51:21,ai9,0.01667,S Setra
2014-10-30 18:51:21,ai10,-0.00418,E Outer Setra
2014-10-30 18:51:21,ai11,0.04599,NW P26
2014-10-30 18:51:21,ai12,-0.00183,E Inner Setra
2014-10-30 18:51:21,ai13,-0.00098,N Setra
2014-10-30 18:51:22,ai0,0.19363,NE Anemometer 4'
2014-10-30 18:51:22,ai1,0.33072,SW Anemometer 4'
2014-10-30 18:51:22,ai2,0.89392,SE Anemometer 4'
2014-10-30 18:51:22,ai3,0.24257,W Anemometer 4'
2014-10-30 18:51:22,ai4,0.10009,Center Anemometer 4'
2014-10-30 18:51:22,ai5,0.21435,Center Anemometer 7'6
2014-10-30 18:51:22,ai6,0.7028,E Anemometer 4'
2014-10-30 18:51:22,ai7,-0.00932,N Anemometer 4'
2014-10-30 18:51:22,ai8,0.19519,N Anemometer 7'6
2014-10-30 18:51:22,ai9,0.01362,S Setra
2014-10-30 18:51:22,ai10,0.0043,E Outer Setra
2014-10-30 18:51:22,ai11,0.04599,NW P26
2014-10-30 18:51:22,ai12,0.0007,E Inner Setra
2014-10-30 18:51:22,ai13,-0.001,N Setra
2014-10-30 18:51:23,ai0,0.1961,NE Anemometer 4'
2014-10-30 18:51:23,ai1,0.32866,SW Anemometer 4'
2014-10-30 18:51:23,ai2,0.85774,SE Anemometer 4'
2014-10-30 18:51:23,ai3,0.19447,W Anemometer 4'
2014-10-30 18:51:23,ai4,0.10749,Center Anemometer 4'
