datetime,position,value
2014-10-30 19:25:15,ai0,0.00494,NE Anemometer 4'
2014-10-30 19:25:15,ai1,0.24808,SW Anemometer 4'
2014-10-30 19:25:15,ai2,0.65795,SE Anemometer 4'
2014-10-30 19:25:15,ai3,0.2253,W Anemometer 4'
2014-10-30 19:25:15,ai4,0.33195,Center Anemometer 4'
2014-10-30 19:25:15,ai5,0.51363,Center Anemometer 7'6
2014-10-30 19:25:15,ai6,0.09231,E Anemometer 4'
2014-10-30 19:25:15,ai7,0.00672,N Anemometer 4'
2014-10-30 19:25:15,ai8,0.28728,N Anemometer 7'6
2014-10-30 19:25:15,ai9,0.00533,S Setra
2014-10-30 19:25:15,ai10,-0.00533,E Outer Setra
2014-10-30 19:25:15,ai11,0.00441,NW P26
2014-10-30 19:25:15,ai12,-0.00379,E Inner Setra
2014-10-30 19:25:15,ai13,-0.001,N Setra
2014-10-30 19:25:16,ai0,-0.0185,NE Anemometer 4'
2014-10-30 19:25:16,ai1,0.20574,SW Anemometer 4'
2014-10-30 19:25:16,ai2,0.65507,SE Anemometer 4'
2014-10-30 19:25:16,ai3,0.16199,W Anemometer 4'
2014-10-30 19:25:16,ai4,0.35374,Center Anemometer 4'
2014-10-30 19:25:16,ai5,0.51569,Center Anemometer 7'6
2014-10-30 19:25:16,ai6,0.09355,E Anemometer 4'
2014-10-30 19:25:16,ai7,-0.01219,N Anemometer 4'
2014-10-30 19:25:16,ai8,0.24164,N Anemometer 7'6
2014-10-30 19:25:16,ai9,0.01547,S Setra
2014-10-30 19:25:16,ai10,-0.00534,E Outer Setra
2014-10-30 19:25:16,ai11,0.00423,NW P26
2014-10-30 19:25:16,ai12,0.01862,E Inner Setra
2014-10-30 19:25:16,ai13,-0.00101,N Setra
2014-10-30 19:25:17,ai0,-0.00493,NE Anemometer 4'
2014-10-30 19:25:17,ai1,0.15805,SW Anemometer 4'
2014-10-30 19:25:17,ai2,0.65384,SE Anemometer 4'
2014-10-30 19:25:17,ai3,0.1587,W Anemometer 4'
