datetime,position,value
2015-06-17 14:06:23,ai0,89.93922,Temperature_9
2015-06-17 14:06:23,ai1,91.00464,Temperature_10
2015-06-17 14:06:23,ai2,88.57784,Temperature_Main
2015-06-17 14:06:23,ai8,0.41678,Flow_9
2015-06-17 14:06:23,ai9,0.45163,Flow_10
2015-06-17 14:06:23,ai10,0.43933,Flow_Main
2015-06-17 14:06:24,ai0,89.8603,Temperature_9
2015-06-17 14:06:24,ai1,90.70869,Temperature_10
2015-06-17 14:06:24,ai2,87.68999,Temperature_Main
2015-06-17 14:06:24,ai8,0.34607,Flow_9
2015-06-17 14:06:24,ai9,0.41678,Flow_10
2015-06-17 14:06:24,ai10,0.41576,Flow_Main
2015-06-17 14:06:25,ai0,89.8603,Temperature_9
2015-06-17 14:06:25,ai1,90.61004,Temperature_10
2015-06-17 14:06:25,ai2,88.53838,Temperature_Main
2015-06-17 14:06:25,ai8,0.39834,Flow_9
2015-06-17 14:06:25,ai9,0.5039,Flow_10
2015-06-17 14:06:25,ai10,0.37374,Flow_Main
2015-06-17 14:06:26,ai0,89.74191,Temperature_9
2015-06-17 14:06:26,ai1,90.23517,Temperature_10
2015-06-17 14:06:26,ai2,88.05499,Temperature_Main
2015-06-17 14:06:26,ai8,0.34299,Flow_9
2015-06-17 14:06:26,ai9,0.51107,Flow_10
2015-06-17 14:06:26,ai10,0.44958,Flow_Main
2015-06-17 14:06:27,ai0,89.88003,Temperature_9
2015-06-17 14:06:27,ai1,90.75801,Temperature_10
2015-06-17 14:06:27,ai2,88.71595,Temperature_Main
2015-06-17 14:06:27,ai8,0.38091,Flow_9
2015-06-17 14:06:27,ai9,0.43011,Flow_10
2015-06-17 14:06:27,ai10,0.42293,Flow_Main
2015-06-17 14:06:28,ai0,90.16611,Temperature_9
2015-06-17 14:06:28,ai1,90.33382,Temperature_10
2015-06-17 14:06:28,ai2,88.20297,Temperature_Main
2015-06-17 14:06:28,ai8,0.42703,Flow_9
2015-06-17 14:06:28,ai9,0.48135,Flow_10
2015-06-17 14:06:28,ai10,0.37374,Flow_Main
2015-06-17 14:06:29,ai0,90.07733,Temperature_9
2015-06-17 14:06:29,ai1,90.89612,Temperature_10
2015-06-17 14:06:29,ai2,88.73568,Temperature_Main
2015-06-17 14:06:29,ai8,0.36349,Flow_9
2015-06-17 14:06:29,ai9,0.4711,Flow_10
2015-06-17 14:06:29,ai10,0.40654,Flow_Main
2015-06-17 14:06:30,ai0,90.12665,Temperature_9
2015-06-17 14:06:30,ai1,90.61004,Temperature_10
2015-06-17 14:06:30,ai2,88.41013,Temperature_Main
2015-06-17 14:06:30,ai8,0.41269,Flow_9
2015-06-17 14:06:30,ai9,0.4588,Flow_10
2015-06-17 14:06:30,ai10,0.44138,Flow_Main
2015-06-17 14:06:31,ai0,89.96881,Temperature_9
2015-06-17 14:06:31,ai1,90.78761,Temperature_10
2015-06-17 14:06:31,ai2,87.98594,Temperature_Main
2015-06-17 14:06:31,ai8,0.35837,Flow_9
2015-06-17 14:06:31,ai9,0.40756,Flow_10
2015-06-17 14:06:31,ai10,0.41166,Flow_Main
2015-06-17 14:06:32,ai0,89.98854,Temperature_9
2015-06-17 14:06:32,ai1,90.72842,Temperature_10
