timestamp,14_4002,15_4002,16_4002,17_4002,18_4002,wxT_S,wxT_D
09/03/14 10:45,7,0,2,0,0,1.72&3.06&7.04&0.79,228.00&257.31&276.00&9.87
09/03/14 10:46,0,0,2,0,3,1.72&2.88&4.45&0.49,228.00&255.15&276.00&10.20
09/03/14 10:47,3,0,2,0,4,1.72&2.87&4.45&0.47,235.00&255.50&276.00&9.86
09/03/14 10:48,1,0,2,0,0,1.86&2.87&4.88&0.53,235.00&254.70&276.00&10.04
09/03/14 10:49,3,0,2,0,2,1.86&2.93&5.31&0.64,235.00&251.88&276.00&9.60
09/03/14 10:50,2,0,2,0,1,1.72&2.92&5.31&0.68,229.00&248.83&270.00&8.11
09/03/14 10:51,0,0,2,0,1,1.72&2.89&5.31&0.70,229.00&247.83&268.00&7.67
09/03/14 10:52,3,0,2,0,3,1.72&2.94&5.31&0.72,227.00&245.88&268.00&8.32
09/03/14 10:53,5,0,2,0,3,1.72&3.01&5.31&0.70,227.00&246.88&268.00&9.74
09/03/14 10:54,3,0,2,0,3,1.72&2.95&4.59&0.63,227.00&248.93&273.00&12.17
09/03/14 10:55,missing,0,2,0,1,2.15&2.97&4.59&0.60,218.00&247.94&273.00&13.06
09/03/14 10:56,1,0,2,0,1,2.01&2.94&4.59&0.58,218.00&246.34&273.00&14.41
09/03/14 10:57,8,0,2,0,5,2.01&3.04&4.45&0.57,218.00&250.34&277.00&15.08
09/03/14 10:58,3,0,2,0,2,1.86&3.06&4.59&0.58,213.00&253.41&277.00&15.72
09/03/14 10:59,8,0,2,0,5,1.86&3.11&5.60&0.66,213.00&254.99&286.00&17.19
09/03/14 11:00,8,0,2,0,7,1.86&3.12&5.60&0.66,213.00&258.88&286.00&16.93
09/03/14 11:01,4,0,2,0,7,1.86&3.14&5.60&0.66,213.00&265.35&286.00&13.11
09/03/14 11:02,5,0,2,0,5,1.86&3.12&5.60&0.61,213.00&268.01&286.00&11.10
09/03/14 11:03,7,0,2,0,4,1.86&3.03&5.60&0.57,213.00&270.93&289.00&10.93
09/03/14 11:04,5,0,2,0,5,2.15&3.03&5.60&0.56,251.00&271.37&289.00&6.90
09/03/14 11:05,3,0,2,0,2,2.15&2.95&4.45&0.41,251.00&271.64&289.00&6.63
09/03/14 11:06,4,0,2,0,1,2.15&2.89&4.45&0.39,246.00&269.65&289.00&7.67
09/03/14 11:07,4,0,2,0,1,2.01&2.82&4.45&0.41,234.00&267.87&289.00&9.68
09/03/14 11:08,9,0,2,0,4,2.01&2.92&5.60&0.66,234.00&265.06&289.00&10.48
09/03/14 11:09,4,0,2,0,1,2.01&3.14&6.89&0.99,234.00&262.80&284.00&9.33
09/03/14 11:10,2,0,2,0,1,2.01&3.18&6.89&1.03,234.00&263.16&289.00&9.62
09/03/14 11:11,2,0,2,0,1,2.01&3.13&6.89&1.06,234.00&264.53&294.00&10.62
09/03/14 11:12,6,0,2,0,5,2.01&3.07&6.89&1.05,247.00&267.44&294.00&9.80
09/03/14 11:13,0,0,2,0,2,2.01&3.02&6.89&0.96,252.00&268.70&294.00&8.29
09/03/14 11:14,1,0,2,0,0,2.01&2.84&6.89&0.76,244.00&270.66&294.00&8.42
09/03/14 11:15,4,0,2,0,1,2.01&2.79&4.88&0.62,244.00&272.54&294.00&7.96
09/03/14 11:16,2,0,2,0,0,2.01&2.80&4.88&0.57,244.00&273.90&294.00&8.66
09/03/14 11:17,1,0,2,0,1,1.72&2.87&4.88&0.71,244.00&275.55&298.00&10.07
09/03/14 11:18,1,0,2,0,3,1.72&2.81&4.88&0.71,244.00&276.92&298.00&10.56
09/03/14 11:19,1,0,2,0,1,1.72&2.80&4.88&0.70,257.00&277.18&298.00&9.84
09/03/14 11:20,4,0,2,0,1,1.72&2.86&6.32&0.84,262.00&277.72&298.00&9.30
09/03/14 11:21,1,0,2,0,3,1.72&2.92&6.32&0.81,262.00&277.81&298.00&9.02
09/03/14 11:22,1,0,2,0,0,1.72&2.90&6.32&0.78,261.00&276.49&298.00&9.22
09/03/14 11:23,2,0,2,0,1,2.01&3.11&6.75&0.91,261.00&276.44&292.00&7.64
09/03/14 11:24,2,0,2,0,0,2.01&3.22&6.75&0.92,261.00&277.15&292.00&7.56
09/03/14 11:25,1,0,2,0,2,2.15&3.28&6.75&0.88,261.00&277.93&295.00&7.28
09/03/14 11:26,4,0,2,0,3,2.29&3.21&6.75&0.76,261.00&278.77&295.00&6.93
09/03/14 11:27,6,0,2,0,3,2.29&3.57&7.76&1.14,266.00&280.38&295.00&6.73
09/03/14 11:28,1,0,2,0,1,2.29&3.77&7.76&1.26,266.00&279.80&295.00&6.30
09/03/14 11:29,1,0,2,0,4,2.29&3.64&7.76&1.18,266.00&281.17&295.00&6.98
09/03/14 11:30,2,0,2,0,3,2.29&3.67&7.76&1.15,266.00&282.10&294.00&6.36
09/03/14 11:31,2,0,2,0,3,2.29&3.76&7.76&1.13,266.00&283.63&303.00&6.97
09/03/14 11:32,0,0,2,0,0,2.29&3.84&7.76&1.22,264.00&285.11&303.00&7.22
09/03/14 11:33,0,0,2,0,0,2.29&3.48&6.46&0.88,251.00&284.45&303.00&9.89
09/03/14 11:34,0,0,2,0,1,2.01&3.50&6.46&0.93,251.00&287.21&320.00&11.31
09/03/14 11:35,0,0,2,0,0,2.01&3.50&6.46&0.99,251.00&288.67&320.00&12.00
09/03/14 11:36,5,0,2,0,2,1.86&3.47&6.46&1.02,251.00&288.19&320.00&13.04
09/03/14 11:37,0,0,2,0,0,1.86&3.16&5.46&0.86,251.00&287.94&320.00&12.69
09/03/14 11:38,3,0,2,0,5,1.86&2.99&5.31&0.75,251.00&287.70&320.00&12.38
09/03/14 11:39,7,0,2,0,3,1.86&2.94&4.59&0.65,258.00&285.89&320.00&12.85
09/03/14 11:40,0,0,2,0,0,1.57&2.83&4.59&0.54,242.00&278.54&305.00&13.19
09/03/14 11:41,0,0,2,0,0,1.43&2.67&4.59&0.69,242.00&275.46&300.00&13.41
09/03/14 11:42,0,0,2,0,0,1.43&2.50&4.59&0.69,242.00&275.69&305.00&14.68
09/03/14 11:43,0,0,2,0,0,1.43&2.48&4.59&0.72,242.00&271.55&305.00&15.18
09/03/14 11:44,0,0,2,0,6,1.43&2.54&4.88&0.79,242.00&270.24&305.00&14.88
09/03/14 11:45,0,0,2,0,3,1.43&2.52&4.88&0.79,242.00&274.87&305.00&15.89
09/03/14 11:46,0,0,2,0,2,1.43&2.64&4.88&0.79,245.00&279.17&305.00&14.56
09/03/14 11:47,0,0,2,0,1,1.43&2.71&4.88&0.73,245.00&278.78&305.00&13.95
09/03/14 11:48,0,0,2,0,0,1.57&2.82&4.88&0.66,245.00&281.65&299.00&11.42
09/03/14 11:49,0,0,2,0,0,2.01&2.83&4.88&0.57,252.00&284.92&299.00&9.07
09/03/14 11:50,12,0,2,0,8,2.01&2.90&4.88&0.61,252.00&284.94&299.00&9.51
09/03/14 11:51,5,0,2,0,5,2.01&2.90&5.46&0.65,252.00&283.02&299.00&9.35
09/03/14 11:52,4,0,2,0,6,2.01&2.95&5.46&0.63,252.00&281.26&299.00&10.15
09/03/14 11:53,7,0,2,0,5,2.01&3.03&5.46&0.68,263.00&280.97&296.00&9.12
09/03/14 11:54,0,0,2,0,0,2.01&2.98&5.46&0.71,263.00&280.00&300.00&8.88
09/03/14 11:55,3,0,2,0,3,2.01&2.92&5.46&0.70,263.00&279.26&300.00&8.18
09/03/14 11:56,1,0,2,0,0,2.01&2.76&5.31&0.61,263.00&281.53&304.00&9.33
09/03/14 11:57,13,0,2,0,7,2.01&2.72&5.31&0.54,263.00&282.01&304.00&9.41
09/03/14 11:58,0,0,2,0,2,2.01&2.62&3.73&0.44,261.00&282.49&304.00&9.61
09/03/14 11:59,8,0,2,0,6,2.01&2.57&3.73&0.44,261.00&282.56&307.00&10.38
09/03/14 12:00,4,0,2,0,2,2.01&2.60&3.59&0.41,261.00&280.63&307.00&10.54
09/03/14 12:01,1,0,2,0,1,1.72&2.49&3.44&0.44,261.00&279.22&307.00&10.22
09/03/14 12:02,0,0,2,0,0,1.57&2.39&3.44&0.44,253.00&276.25&307.00&9.86
09/03/14 12:03,9,0,2,0,11,1.57&2.37&3.30&0.42,253.00&275.84&307.00&10.15
09/03/14 12:04,6,0,2,0,6,1.57&2.45&3.30&0.45,253.00&274.54&307.00&9.21
09/03/14 12:05,14,0,2,0,9,1.57&2.51&3.59&0.50,253.00&273.23&288.00&7.87
09/03/14 12:06,0,0,2,0,0,1.57&2.57&3.59&0.53,253.00&272.33&285.00&7.40
09/03/14 12:07,14,0,2,0,10,1.57&2.67&3.59&0.51,253.00&271.10&291.00&7.88
09/03/14 12:08,0,0,2,0,0,1.57&2.73&3.59&0.50,238.00&269.71&291.00&9.12
09/03/14 12:09,0,0,2,0,0,1.29&2.54&3.59&0.62,238.00&268.01&294.00&9.46
09/03/14 12:10,6,0,2,0,6,1.29&2.65&4.02&0.71,238.00&265.21&294.00&10.52
09/03/14 12:11,3,0,2,0,5,1.29&2.65&4.31&0.73,238.00&259.37&294.00&12.36
09/03/14 12:12,1,0,2,0,1,1.29&2.62&4.31&0.73,238.00&256.87&294.00&11.73
09/03/14 12:13,11,0,2,0,5,1.29&2.54&4.31&0.76,238.00&258.10&297.00&13.76
09/03/14 12:14,11,0,2,0,13,1.29&2.74&4.31&0.72,239.00&259.46&297.00&13.60
09/03/14 12:15,6,0,2,0,5,1.72&2.81&4.31&0.65,239.00&260.53&297.00&13.78
09/03/14 12:16,0,0,2,0,0,1.72&2.64&3.88&0.54,239.00&265.93&297.00&13.52
09/03/14 12:17,5,0,2,0,1,1.72&2.50&3.88&0.54,248.00&271.56&297.00&10.34
09/03/14 12:18,7,0,2,0,6,1.72&2.66&4.16&0.52,257.00&274.30&297.00&8.57
09/03/14 12:19,7,0,2,0,7,1.72&2.66&4.16&0.48,257.00&276.34&291.00&7.97
09/03/14 12:20,3,0,2,0,6,1.72&2.60&4.16&0.45,254.00&279.08&293.00&7.12
09/03/14 12:21,0,0,2,0,7,1.72&2.64&4.16&0.48,237.00&275.00&293.00&13.64
09/03/14 12:22,2,0,2,0,1,1.72&2.75&4.31&0.48,237.00&274.04&293.00&14.41
09/03/14 12:23,8,0,2,0,8,2.01&2.80&4.31&0.48,237.00&273.53&304.00&14.96
09/03/14 12:24,3,0,2,0,5,2.01&2.75&4.31&0.49,237.00&272.37&304.00&15.11
09/03/14 12:25,0,0,2,0,0,2.01&2.83&4.31&0.57,237.00&269.60&304.00&15.25
09/03/14 12:26,4,0,2,0,1,1.57&2.81&4.88&0.68,237.00&271.64&304.00&14.33
09/03/14 12:27,6,0,2,0,2,1.57&2.91&5.03&0.79,251.00&273.78&304.00&11.38
09/03/14 12:28,14,0,2,0,6,1.57&3.00&6.18&0.92,247.00&271.64&302.00&11.95
09/03/14 12:29,9,0,2,0,9,1.57&3.37&6.32&1.20,247.00&270.08&302.00&12.12
09/03/14 12:30,4,0,2,0,6,1.57&3.34&6.32&1.21,245.00&269.08&302.00&12.78
09/03/14 12:31,8,0,2,0,5,1.86&3.37&6.32&1.15,245.00&269.07&293.00&11.74
09/03/14 12:32,5,0,2,0,4,2.15&3.57&6.32&1.23,245.00&267.03&287.00&10.49
09/03/14 12:33,6,0,2,0,8,1.72&3.37&6.32&1.25,245.00&266.39&287.00&10.48
09/03/14 12:34,17,0,2,0,11,1.72&3.49&9.77&1.49,245.00&271.19&291.00&10.49
09/03/14 12:35,13,0,2,0,11,1.72&3.46&9.77&1.38,248.00&268.67&291.00&10.37
